,Station Names,Station Codes,Latitude,Longitude,Pincode
175,AMBALE,ABLE,30.3752° N,76.7821° E,134003
176,AMBALGRAM,ABGM,23.6929° N,88.0790° E,713140
177,AMBARI,ABX,30.4912° N,77.8167° E,735135
178,AMBARI FALAKATA,ABFC,26.6090° N,88.4864° E,735135
179,AMBARNATH,ABH,19.1825° N,73.1926° E,421501
180,AMBASA,ABSA,23.9248° N,91.8465° E,799289
181,AMBASAMUDRAM,ASD,8.7093° N,77.4530° E,627401
182,AMBATTUR,ABU,13.1077° N,80.1522° E,600053
183,AMBATURAI,ABI,10.2760° N,77.9203° E,624302
184,AMBAV,AAV,17.0523° N,73.5653° E,388307
185,AMBEWADI,AVA,20.0337° N,72.7245° E,581325
186,AMBIAPUR,AAP,23.1294° N,83.1861° E,209302
187,AMBIKA KALNA,ABKA,23.2249° N,88.3482° E,713409
188,AMBIKA ROHINA,AMBR,18.4422° N,76.9444° E,413517
189,AMBIKAPUR,ABKP,23.1294° N,83.1861° E,492099
190,AMBIVLI,ABY,19.2651° N,73.1724° E,421102
191,AMBLI ROAD,ABD,23.0535° N,72.4934° E,380058
192,AMBLIYASAN,UMN,23.4513° N,72.4229° E,382732
193,AMBODALA,AMB,19.8344° N,83.4577° E,765021
194,AMBUR,AB,12.7802° N,78.7177° E,635802
195,AMDARA,UDR,24.1099° N,80.5841° E,485773
196,AMETHI,AME,26.1541° N,81.8142° E,227405
197,AMGAON,AGN,21.3684° N,80.3798° E,441902
198,AMGHATA,AHT,23.4131° N,88.4234° E,741315
199,AMGURI,AGI,26.8102° N,94.5238° E,785683
200,AMHERA,ARH,29.2623° N,78.2839° E,246726
201,AMILA,AMD,26.1817° N,83.5097° E,276404
202,AMIN,AMIN,29.9049° N,76.8692° E,132116
203,AMLA JN,AMLA,21.9195° N,78.1228° E,460551
204,AMLAI,AAL,23.1988° N,81.5871° E,484220
205,AMLAKHURD,AMX,21.5005° N,76.6521° E,450221
206,AMLETHA,ALE,21.8317° N,73.4121° E,393140
207,AMLI,AMLI,20.2910° N,73.0228° E,304023
208,AMLORI SARSAR,ALS,26.2702° N,84.3516° E,841226
209,AMMANABROLU,ANB,15.5867° N,80.1456° E,523180
210,AMMANUR,AMNR,13.0447° N,79.6755° E,610201
211,AMMAPET,AMT,10.7971° N,79.3157° E,614401
212,AMMASANDRA,AMSA,13.2689° N,76.7149° E,572211
213,AMMUGUDA,AMQ,17.4864° N,78.5271° E,500056
214,AMNAPUR,ANQ,17.0464° N,74.4642° E,416308
215,AMOD,AMOD,21.9942° N,72.8693° E,392110
216,AMOLWA,AMO,27.1977° N,84.4881° E,845455
217,AMONI,AONI,26.4519° N,92.9101° E,782138
218,AMRAVATI,AMI,20.9320° N,77.7523° E,0
219,AMRELI,AE,21.6015° N,71.2204° E,365601
220,AMRELI PARA,AEP,,,365601
221,AMRITAPURA,AMC,9.0949° N,76.4896° E,577557
222,AMRITSAR JN,ASR,31.6332° N,74.8672° E,143001
223,AMRITVEL,AVL,21.3962° N,71.3594° E,364290
224,AMROHA,AMRO,28.9052° N,78.4673° E,244221
225,ANAIMALAI ROAD,ANM,,,642103
226,ANAKAPALLE,AKP,17.6896° N,83.0024° E,531001
227,ANAKHI,ANKI,22.0751° N,72.8539° E,392150
228,ANAKHOL,AKL,22.3055° N,73.2655° E,382715
229,ANAND JN,ANND,22.5608° N,72.9667° E,388001
230,ANAND NAGAR,ANDN,27.1023° N,83.2759° E,273155
231,ANAND VIHAR,ANVR,28.6502° N,77.3027° E,110092
232,ANAND VIHAR TRM,ANVT,28.6488° N,77.3154° E,110092
233,ANANDAPURAM,ANF,17.9054° N,83.3629° E,679321
234,ANANDPUR SAHIB,ANSB,31.2344° N,76.5055° E,140118
235,ANANDTANDAVPUR,ANP,11.1446° N,79.6586° E,609103
236,ANANGUR,ANU,11.3892° N,77.8288° E,637304
237,ANANT PAITH,AEH,25.9554° N,78.2766° E,475110
