Station Names,Station Codes,Latitude,Longitude
ARAMBAKKAM,AKM,13.5427° N,80.0690° E
ARAND,ARN,17.5676° N,76.5662° E
ARANG MAHANADI,ANMD,21.1895° N,81.9554° E
ARANGHATA,AG,23.2426° N,88.6114° E
ARANTANGI,ATQ,10.1692° N,79.0023° E
ARAON,AON,27.1522° N,78.7065° E
ARARIYA,ARR,26.1311° N,87.4455° E
ARARIYA COURT,ARQ,26.1149° N,87.4474° E
ARASALU,ARU,13.9984° N,75.3091° E
ARAUL MAKANPUR,ARL,26.9205° N,80.0188° E
ARAVALI ROAD,AVRD,17.3166° N,73.5382° E
ARAVALLI,AVLI,25.2235° N,73.7478° E
ARAVANKADU,AVK,11.3683° N,76.7712° E
ARELI,ARX,null,null
AREPALLI HALT,ARPL,null,null
ARGORA,AOR,23.3504° N,85.2954° E
ARGUL,ARGL,18.7327° N,78.2747° E
ARIGADA,ARGD,23.6445° N,85.4681° E
ARIYALUR,ALU,11.1401° N,79.0786° E
ARJANSAR,AS,28.9247° N,73.8595° E
ARJUNAHALLI,ARNH,12.5388° N,76.3956° E
ARJUNI,AJU,20.8179° N,80.0395° E
ARMUR,ARMU,18.7900° N,78.2881° E
ARNEJ,AEJ,22.5825° N,72.2667° E
ARNETHA,ARE,25.3835° N,75.9986° E
ARNI ROAD,ARV,20.3790° N,78.1112° E
ARNIA,ARNA,32.5192° N,74.7995° E
ARSENI,ASI,null,null
ARSIKERE JN,ASK,null,null
ARTS COLLEGE,ATC,null,null
ARUMUGANERI,ANY,8.5681° N,78.0937° E
ARUNACHAL,ARCL,28.2180° N,94.7278° E
ARUPPUKKOTTAI,APK,9.5156° N,78.1000° E
ARVI,ARVI,21.0010° N,78.2307° E
ARYANKAVU,AYV,8.9751° N,77.1494° E
ASAFPUR,AFR,27.8986° N,79.4212° E
ASAKALATTUR,ACT,11.5877° N,79.0553° E
ASALPUR JOBNER,JOB,26.9006° N,75.4241° E
ASAN,ASAN,28.9018° N,76.7697° E
ASANBONI,ASB,22.7049° N,86.3217° E
ASANGAON,ASO,19.4392° N,73.2998° E
ASANSOL JN,ASN,23.6907° N,86.9759° E
ASAOTI,AST,28.2518° N,77.3241° E
ASARMA,ASM,22.3499° N,73.0376° E
ASARVA JN,ASV,null,null
ASAUDAH,ASE,28.7516° N,76.8707° E
ASHAPURA GOMAT,AQG,26.9506° N,71.8928° E
ASHOK NAGAR,ASKN,24.5775° N,77.7318° E
ASHOK NAGAR RD,ASKR,22.8265° N,88.6286° E
ASHOKAPURAM,AP,12.2864° N,76.6398° E
ASHTEGAON,ASTG,null,null
ASHTI,AHI,18.8044° N,75.1680° E
ASIFABAD ROAD,ASAF,19.2571° N,79.4166° E
ASIRGARH ROAD,AGQ,21.3781° N,76.2675° E
ASLANA,ANA,23.9350° N,79.3142° E
ASLAODA,ASL,23.2308° N,75.6080° E
ASLU,ASLU,28.3587° N,75.0859° E
ASNOTI,AT,14.8811° N,74.1508° E
ASOKHAR,AXK,26.5523° N,78.5973° E
ASPARI,ASP,15.4757° N,77.3884° E
ASRANADA,AAS,26.3974° N,73.3058° E
ASTHAL BOHAR,ABO,28.8957° N,76.6514° E
ASVALI,AV,20.0926° N,72.7954° E
ASWANI HALT,AWS,null,null
ASWAPURAM,AWM,17.8291° N,80.8295° E
ATA,ATA,null,null
ATAMANDA,AMA,28.5644° N,79.4636° E
ATARI,ATT,31.5978° N,74.6020° E
ATARIA,AA,31.5978° N,74.6020° E
ATARRA,ATE,25.2867° N,80.5744° E
ATELI,AEL,28.1056° N,76.2801° E
ATGAON,ATG,19.5042° N,73.3252° E
ATHMAL GOLA,ATL,25.4529° N,85.5898° E
ATHSARAI,ASCE,25.6790° N,81.2624° E
ATIRAMPATTINAM,AMM,10.3413° N,79.3796° E
ATLADARA,ATDA,22.2669° N,73.1492° E
ATRAMPUR,ARP,25.5579° N,81.7336° E
ATRAULI ROAD,AUR,28.0958° N,78.2192° E
ATRAURA,ATRR,25.4326° N,82.1292° E
ATRU,ATRU,24.8768° N,76.6701° E
ATTABIRA,ATS,21.3690° N,83.7757° E
ATTAR,ATR,22.0088° N,76.2059° E
ATTILI,AL,16.6885° N,81.6037° E
ATTIPPATTU,AIP,13.2488° N,80.3046° E
ATTUR,ATU,11.5983° N,78.5974° E
ATUL,ATUL,20.5370° N,72.9414° E
ATWA KURSATH,ATKS,null,null
AUJARI,AJRE,26.1449° N,92.2670° E
AULENDA,AED,27.0307° N,77.6178° E
AUNG,AUNG,null,null
AUNLAJORI JN,OND,null,null
AUNRIHAR JN,ARJ,null,null
AUNTA HALT,ANAH,null,null
AURAHI,AUI,26.0581° N,86.7467° E
AURANG NAGAR,AUN,19.8762° N,75.3433° E
AURANGABAD,AWB,19.8762° N,75.3433° E
AUSA ROAD,OSA,null,null
AUVANESWSAREM,AVS,null,null
AUWA,AUWA,25.6297° N,73.6374° E
AVADI,AVD,13.1067° N,80.0970° E
AVATIHALLI,AVT,12.9457° N,77.5440° E
AVIDHA,AVH,21.7658° N,73.1873° E
AVULADATLA,ALAT,14.7022° N,76.9701° E
AWA GARH,AWG,27.4426° N,78.4837° E
AWANTIPURA,ATPA,33.9218° N,75.0139° E
AWAPUR,AWPR,26.5149° N,85.6609° E
AWATARNAGAR,ATNR,25.7646° N,84.9572° E
AYANDUR,AYD,11.9678° N,79.3381° E
AYINGUDI,AYI,10.2388° N,78.8170° E
AYODHYA,AY,26.7922° N,82.1998° E
AYODHYAPATTANAM,APN,11.6743° N,78.2350° E
AYYALUR,AYR,10.4844° N,78.1551° E
AYYAMPET,AZP,10.8963° N,79.1944° E
AZAMGARH,AMH,26.0739° N,83.1859° E
AZAMNAGAR ROAD,AZR,25.5560° N,87.8525° E
AZARA,AZA,26.1239° N,91.6173° E
AZHWARKURICHI,AZK,8.7815° N,77.3942° E
AZIMGANJ CITY,ACLE,24.2351° N,88.2607° E
AZIMGANJ JN,AZ,null,null
B CEMENT NAGAR,BEY,null,null
