Train Number,Train Name
37378,GOGT HWH LOCAL
11265,AMBIKAPUR EXPRES
13138,AMH KOAA EXP
11054,AMH LTT EXP
55135,AMH BCY PASS
12119,AMI AJNI EXP
51136,AMI BD PASS
51138,AMI BD PASS
51140,AMI BD PASS
51142,AMI BD PASS
51146,AMI BD PASS
51148,AMI BD PASS
51150,AMI BD PASS
12159,AMI JBP SUP EXP
11406,AMI PUNE EXP
12766,AMI TPTY SUP EXP
51261,AMI WR PASS
51239,AMLA BZU PASS
51253,AMLA CWA PASS
51294,AMLA NGP PASS
12112,AMI CSMT EXPRESS
16343,AMRITHA EXPRESS
16344,AMRITHA EXPRESS
13049,AMRITSAR EXP
12483,AMRITSAR EXP
11057,CSMT DHI EXPRES
13005,AMRITSAR MAIL
12014,AMRITSAR SHTBDI
12031,AMRITSAR SHTBDI
12013,AMRITSAR SHTBDI
12032,AMRITSAR SHTBDI
38902,AMZ SRC LOCAL
38904,AMZ HWH LOCAL
38906,AMZ HWH LOCAL
38908,AMZ HWH LOCAL
38910,AMZ HWH LOCAL
38912,AMZ HWH LOCAL
38916,AMZ  SRC LOCAL
38918,AMZ HWH LOCAL
38920,AMZ HWH LOCAL
38922,AMZ HWH LOCAL
38914,AMZ HWH LOCAL
79415,ANAND CBY DEMU
16723,ANANTAPURI EXP
16724,ANANTAPURI EXP
12316,ANANYA EXPRESS
16032,ANDAMAN EXPRESS
16031,ANDAMAN EXPRESS
55081,NKE GKP PASS
55079,BTH GKP PASS
12253,ANGA EXPRESS
12254,ANGA EXPRESS
58421,ANGL PURI PASS
12315,ANNANYA  EXPRES
79429,ANND ADI FAST DMU
69105,ANND ADI MEMU
69129,ANND ADI MEMU
69127,ANND ADI MEMU
69104,ANND BRC MEMU
79421,ANND CBY DEMU
79425,ANND CBY DEMU
79413,ANND CBY DEMU
79423,ANND CBY DEMU
79427,ANND CBY DEMU
79417,ANND CBY DMU
79419,ANND CBY DMU
69189,ANND DHD MEMU
69133,ANND DK MEMU
69135,ANND DK MEMU
69123,ANND GDA MEMU
69125,ANND GDA MEMU
69191,ANND GNC MEMU
59163,ANND VTL PASS
22632,ANUVRAT EXP
22631,ANUVRAT EXPRESS
22406,ANVT BGP G RATH
14152,ANVT CNB EXP
12583,ANVT DOUBLE DKR
22409,ANVT GARIB RATH
12211,ANVT GARIB RATH
15058,ANVT GKP EXP
12444,ANVT HLZ S F EXP
12040,NDLS KGM SHT
13132,PNBE KOAA EXPRE
15622,ANVT KYQ EXPRESS
15026,ANVT MAU EXP
13430,ANVT MLDT EXP
22488,ANVT RDP LINK
12428,ANVT REWA EXP
15530,ANVT SHC JANSADHARAN
22858,ANVT SRC SF EXP
04401,ANVT SVDK AC SPL
12708,AP SMPRK KRANTI
55753,APDJ GHY PASS
55726,APDJ NJP PASS
59731,APH SOG PASS
59707,APH SOG PASS
59709,APH SOG PASS
59733,APH SOG PASS
68749,SDL ABKP MEMU
51756,APR CHRM PASS
54271,ARA DDU PASS
63224,ARA PNBE MEMU
54273,ARA SSM PASS
12885,ARANYAK EXPRESS
12886,ARANYAK EXPRESS
19707,AMRAPUR ARAVALI
19708,ARAVALI EXPRESS
12356,ARCHANA EXPRESS
12355,ARCHNA EXPRESS
55159,BTT BCY PASS
55164,ARJ SHG SPL
13506,ASANSOL DIGHA EXP
52242,STP BRK PASS M G
52252,MLN BRK PASS M G
52240,MLN TQN PASS M G
